18-Feb-2024-13-41-45 --- args ---
The attention method is self_relation-attention, learning rate: 0.1
args.evaluate: {:}
Label: 0, Pred: 0
Label: 0, Pred: 4
Label: 0, Pred: 0
Label: 0, Pred: 0
Label: 0, Pred: 0
Label: 0, Pred: 0
Label: 0, Pred: 0
Label: 0, Pred: 0
Label: 0, Pred: 0
Label: 0, Pred: 0
Label: 0, Pred: 0
Label: 0, Pred: 0
Label: 0, Pred: 0
Label: 0, Pred: 0
Label: 0, Pred: 0
Label: 0, Pred: 0
Label: 0, Pred: 0
Label: 0, Pred: 0
Label: 0, Pred: 0
Label: 0, Pred: 0
Label: 0, Pred: 0
Label: 0, Pred: 2
Label: 0, Pred: 2
Label: 0, Pred: 0
Label: 0, Pred: 0
Label: 0, Pred: 0
Label: 0, Pred: 0
Label: 0, Pred: 1
Label: 0, Pred: 0
Label: 0, Pred: 0
Label: 0, Pred: 0
Label: 0, Pred: 0
Label: 0, Pred: 0
Label: 0, Pred: 0
Label: 0, Pred: 0
Label: 0, Pred: 0
Label: 0, Pred: 0
Label: 0, Pred: 0
Label: 0, Pred: 0
Label: 0, Pred: 0
Label: 0, Pred: 0
Label: 0, Pred: 0
Label: 0, Pred: 0
Label: 0, Pred: 0
Label: 0, Pred: 0
Label: 0, Pred: 0
Label: 0, Pred: 1
Label: 0, Pred: 0
Label: 0, Pred: 0
Label: 0, Pred: 0
Label: 0, Pred: 0
Label: 0, Pred: 0
Label: 0, Pred: 0
Label: 0, Pred: 0
Label: 0, Pred: 0
Label: 0, Pred: 0
Label: 0, Pred: 0
Label: 0, Pred: 0
Label: 0, Pred: 0
Label: 0, Pred: 0
Label: 0, Pred: 0
Label: 0, Pred: 0
Label: 0, Pred: 0
Label: 0, Pred: 0
Label: 0, Pred: 0
Label: 0, Pred: 0
Label: 0, Pred: 0
Label: 0, Pred: 0
Label: 0, Pred: 0
Label: 0, Pred: 0
Label: 0, Pred: 1
Label: 0, Pred: 0
Label: 1, Pred: 0
Label: 1, Pred: 1
Label: 1, Pred: 1
Label: 1, Pred: 1
Label: 1, Pred: 1
Label: 1, Pred: 1
Label: 1, Pred: 1
Label: 1, Pred: 1
Label: 1, Pred: 1
Label: 1, Pred: 1
Label: 1, Pred: 1
Label: 1, Pred: 1
Label: 1, Pred: 4
Label: 1, Pred: 1
Label: 1, Pred: 1
Label: 1, Pred: 1
Label: 1, Pred: 1
Label: 1, Pred: 1
Label: 1, Pred: 1
Label: 1, Pred: 1
Label: 1, Pred: 1
Label: 1, Pred: 1
Label: 1, Pred: 1
Label: 1, Pred: 1
Label: 1, Pred: 0
Label: 1, Pred: 0
Label: 1, Pred: 1
Label: 1, Pred: 1
Label: 1, Pred: 1
Label: 1, Pred: 0
Label: 1, Pred: 1
Label: 1, Pred: 1
Label: 1, Pred: 1
Label: 1, Pred: 1
Label: 1, Pred: 0
Label: 1, Pred: 1
Label: 1, Pred: 0
Label: 1, Pred: 1
Label: 1, Pred: 1
Label: 1, Pred: 1
Label: 1, Pred: 1
Label: 1, Pred: 1
Label: 1, Pred: 1
Label: 1, Pred: 1
Label: 1, Pred: 1
Label: 1, Pred: 1
Label: 1, Pred: 1
Label: 1, Pred: 1
Label: 1, Pred: 1
Label: 1, Pred: 1
Label: 1, Pred: 1
Label: 1, Pred: 1
Label: 1, Pred: 3
Label: 1, Pred: 1
Label: 1, Pred: 1
Label: 1, Pred: 1
Label: 1, Pred: 1
Label: 1, Pred: 1
Label: 1, Pred: 1
Label: 1, Pred: 1
Label: 1, Pred: 1
Label: 1, Pred: 1
Label: 1, Pred: 1
Label: 1, Pred: 1
Label: 1, Pred: 0
Label: 1, Pred: 1
Label: 1, Pred: 0
Label: 1, Pred: 1
Label: 1, Pred: 1
Label: 1, Pred: 1
Label: 1, Pred: 1
Label: 1, Pred: 1
Label: 2, Pred: 2
Label: 2, Pred: 2
Label: 2, Pred: 2
Label: 2, Pred: 2
Label: 2, Pred: 5
Label: 2, Pred: 2
Label: 2, Pred: 2
Label: 2, Pred: 2
Label: 2, Pred: 2
Label: 2, Pred: 2
Label: 2, Pred: 2
Label: 2, Pred: 3
Label: 2, Pred: 2
Label: 2, Pred: 2
Label: 2, Pred: 2
Label: 2, Pred: 2
Label: 2, Pred: 2
Label: 2, Pred: 2
Label: 2, Pred: 3
Label: 2, Pred: 3
Label: 2, Pred: 2
Label: 2, Pred: 2
Label: 2, Pred: 2
Label: 2, Pred: 2
Label: 2, Pred: 2
Label: 2, Pred: 2
Label: 2, Pred: 2
Label: 2, Pred: 2
Label: 2, Pred: 2
Label: 2, Pred: 3
Label: 2, Pred: 2
Label: 2, Pred: 2
Label: 2, Pred: 2
Label: 2, Pred: 2
Label: 2, Pred: 2
Label: 2, Pred: 2
Label: 2, Pred: 2
Label: 2, Pred: 2
Label: 2, Pred: 2
Label: 2, Pred: 2
Label: 2, Pred: 2
Label: 2, Pred: 5
Label: 2, Pred: 2
Label: 2, Pred: 2
Label: 2, Pred: 2
Label: 2, Pred: 2
Label: 2, Pred: 2
Label: 2, Pred: 2
Label: 2, Pred: 2
Label: 2, Pred: 2
Label: 2, Pred: 2
Label: 2, Pred: 2
Label: 2, Pred: 2
Label: 2, Pred: 2
Label: 2, Pred: 2
Label: 2, Pred: 2
Label: 2, Pred: 2
Label: 2, Pred: 2
Label: 2, Pred: 2
Label: 2, Pred: 2
Label: 2, Pred: 2
Label: 2, Pred: 2
Label: 2, Pred: 2
Label: 2, Pred: 2
Label: 2, Pred: 2
Label: 2, Pred: 2
Label: 2, Pred: 2
Label: 2, Pred: 2
Label: 2, Pred: 2
Label: 2, Pred: 2
Label: 2, Pred: 2
Label: 2, Pred: 5
Label: 3, Pred: 3
Label: 3, Pred: 3
Label: 3, Pred: 3
Label: 3, Pred: 3
Label: 3, Pred: 3
Label: 3, Pred: 3
Label: 3, Pred: 2
Label: 3, Pred: 3
Label: 3, Pred: 3
Label: 3, Pred: 3
Label: 3, Pred: 3
Label: 3, Pred: 3
Label: 3, Pred: 2
Label: 3, Pred: 5
Label: 3, Pred: 3
Label: 3, Pred: 3
Label: 3, Pred: 3
Label: 3, Pred: 3
Label: 3, Pred: 3
Label: 3, Pred: 3
Label: 3, Pred: 3
Label: 3, Pred: 3
Label: 3, Pred: 3
Label: 3, Pred: 3
Label: 3, Pred: 3
Label: 3, Pred: 3
Label: 3, Pred: 3
Label: 3, Pred: 3
Label: 3, Pred: 2
Label: 3, Pred: 3
Label: 3, Pred: 3
Label: 3, Pred: 3
Label: 3, Pred: 3
Label: 3, Pred: 3
Label: 3, Pred: 3
Label: 3, Pred: 3
Label: 3, Pred: 3
Label: 3, Pred: 3
Label: 3, Pred: 3
Label: 3, Pred: 3
Label: 3, Pred: 2
Label: 3, Pred: 3
Label: 3, Pred: 3
Label: 3, Pred: 3
Label: 3, Pred: 3
Label: 3, Pred: 3
Label: 3, Pred: 3
Label: 3, Pred: 2
Label: 3, Pred: 3
Label: 3, Pred: 3
Label: 3, Pred: 3
Label: 3, Pred: 3
Label: 3, Pred: 3
Label: 3, Pred: 3
Label: 3, Pred: 3
Label: 3, Pred: 3
Label: 3, Pred: 3
Label: 3, Pred: 3
Label: 3, Pred: 3
Label: 3, Pred: 3
Label: 3, Pred: 3
Label: 3, Pred: 3
Label: 3, Pred: 3
Label: 3, Pred: 3
Label: 3, Pred: 3
Label: 3, Pred: 3
Label: 3, Pred: 3
Label: 3, Pred: 3
Label: 3, Pred: 3
Label: 3, Pred: 3
Label: 3, Pred: 3
Label: 3, Pred: 3
Label: 4, Pred: 4
Label: 4, Pred: 4
Label: 4, Pred: 4
Label: 4, Pred: 4
Label: 4, Pred: 4
Label: 4, Pred: 4
Label: 4, Pred: 4
Label: 4, Pred: 4
Label: 4, Pred: 4
Label: 4, Pred: 4
Label: 4, Pred: 4
Label: 4, Pred: 4
Label: 4, Pred: 4
Label: 4, Pred: 4
Label: 4, Pred: 4
Label: 4, Pred: 4
Label: 4, Pred: 4
Label: 4, Pred: 4
Label: 4, Pred: 0
Label: 4, Pred: 4
Label: 4, Pred: 4
Label: 4, Pred: 4
Label: 4, Pred: 4
Label: 4, Pred: 1
Label: 4, Pred: 1
Label: 4, Pred: 4
Label: 4, Pred: 4
Label: 4, Pred: 0
Label: 4, Pred: 4
Label: 4, Pred: 0
Label: 4, Pred: 4
Label: 4, Pred: 4
Label: 4, Pred: 4
Label: 4, Pred: 4
Label: 4, Pred: 4
Label: 4, Pred: 4
Label: 4, Pred: 4
Label: 4, Pred: 4
Label: 4, Pred: 4
Label: 4, Pred: 4
Label: 4, Pred: 4
Label: 4, Pred: 4
Label: 4, Pred: 4
Label: 4, Pred: 4
Label: 4, Pred: 4
Label: 4, Pred: 4
Label: 4, Pred: 4
Label: 4, Pred: 4
Label: 4, Pred: 4
Label: 4, Pred: 4
Label: 4, Pred: 4
Label: 4, Pred: 4
Label: 4, Pred: 4
Label: 4, Pred: 4
Label: 4, Pred: 4
Label: 4, Pred: 4
Label: 4, Pred: 4
Label: 4, Pred: 4
Label: 4, Pred: 4
Label: 4, Pred: 4
Label: 4, Pred: 4
Label: 4, Pred: 4
Label: 4, Pred: 4
Label: 4, Pred: 4
Label: 4, Pred: 4
Label: 4, Pred: 4
Label: 4, Pred: 4
Label: 4, Pred: 4
Label: 4, Pred: 4
Label: 4, Pred: 4
Label: 4, Pred: 4
Label: 4, Pred: 4
Label: 5, Pred: 5
Label: 5, Pred: 5
Label: 5, Pred: 5
Label: 5, Pred: 5
Label: 5, Pred: 2
Label: 5, Pred: 5
Label: 5, Pred: 5
Label: 5, Pred: 5
Label: 5, Pred: 5
Label: 5, Pred: 5
Label: 5, Pred: 5
Label: 5, Pred: 5
Label: 5, Pred: 5
Label: 5, Pred: 5
Label: 5, Pred: 5
Label: 5, Pred: 5
Label: 5, Pred: 5
Label: 5, Pred: 5
Label: 5, Pred: 5
Label: 5, Pred: 5
Label: 5, Pred: 5
Label: 5, Pred: 5
Label: 5, Pred: 5
Label: 5, Pred: 5
Label: 5, Pred: 5
Label: 5, Pred: 5
Label: 5, Pred: 5
Label: 5, Pred: 5
Label: 5, Pred: 5
Label: 5, Pred: 5
Label: 5, Pred: 5
Label: 5, Pred: 5
Label: 5, Pred: 5
Label: 5, Pred: 5
Label: 5, Pred: 5
Label: 5, Pred: 5
Label: 5, Pred: 5
Label: 5, Pred: 5
Label: 5, Pred: 5
Label: 5, Pred: 5
Label: 5, Pred: 5
Label: 5, Pred: 5
Label: 5, Pred: 5
Label: 5, Pred: 5
Label: 5, Pred: 5
Label: 5, Pred: 5
Label: 5, Pred: 5
Label: 5, Pred: 5
Label: 5, Pred: 5
Label: 5, Pred: 5
Label: 5, Pred: 5
Label: 5, Pred: 5
Label: 5, Pred: 5
Label: 5, Pred: 5
Label: 5, Pred: 5
Label: 5, Pred: 5
Label: 5, Pred: 5
Label: 5, Pred: 5
Label: 5, Pred: 5
Label: 5, Pred: 5
Label: 5, Pred: 5
Label: 5, Pred: 5
Label: 5, Pred: 5
Label: 5, Pred: 5
Label: 5, Pred: 5
Label: 5, Pred: 5
Label: 5, Pred: 5
Label: 5, Pred: 5
Label: 5, Pred: 5
Label: 5, Pred: 5
Label: 5, Pred: 5
Label: 5, Pred: 5
 *Acc@Video 91.898 
